distance,Place of interest,Place address,BiciMAD station,Station location
0.34222923881314393,Parque de las Avenidas,AVENIDA BRASILIA 6,214 - Condesa de Venadito,Calle Condesa de Venadito nº 2
0.4315740668220415,Parque de las Delicias,CALLE PARROCO EUSEBIO CUENCA 13,176 - Beata,Calle Alicante nº 3
2.6621096346221726,Parque de los Llanos,CALLE DIONISIO INCA YUPANQUI 8,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
0.9863156567800241,Parque de los Tilos,CALLE NICOLAS SALMERON 1,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
0.2714965571092753,Parque del Bronce,CALLE BRONCE 5,235 - Embajadores 191,Calle Sodio nº 1B
3.1505226341023325,Parque del Espinillo,CALLE UNANIMIDAD 23,235 - Embajadores 191,Calle Sodio nº 1B
0.1491493586314514,Parque del Museo del Prado,PASEO PRADO 11,68 - Espalter,Calle Espalter nº 1
0.127458271441094,Parque del Oeste,PASEO MORET 2,110 - Moncloa,Paseo de Moret nº 2
8.45275023821703,Parque del Pueblo del Pardo,AVENIDA GUARDIA 4,217 - Pedro Rico,Calle Pedro Rico nº 4
6.855683674637749,Plaza Mayor de Barajas,PLAZA MAYOR DE BARAJAS 1,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
0.06839210239786223,Plaza de Murillo,PLAZA MURILLO 1,68 - Espalter,Calle Espalter nº 1
0.19762897522774775,Plaza de la Lealtad,JARDINES PLAZA DE LA LEALTAD ,86 - Cibeles,Plaza Cibeles
2.4539854636709593,Quinta de Torre Arias,CALLE ALCALA 551,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
0.24680146771221448,Quinta de la Fuente del Berro,CALLE ENRIQUE D'ALMONTE 1,185 - Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra
0.21114451503769815,Rosaleda de Madrid. Parque del Oeste,CALLE ROSALEDA 1,113 - Pintor Rosales,Paseo del Pintor Rosales frente al nº 38
0.3722295179655889,Vivero Estufas de El Retiro,"GLORIETA ANGEL CAIDO 4 Parque del Retiro. Entrada por C/ Alfonso XII, frente a la cuesta de Claudio Moyano",75 - Menéndez Pelayo,Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas
0.5756356677285095,Vivero de la Casa de Campo,PASEO AZUL 2,161 - Paseo de la Florida,Paseo de la Florida nº 8
1.1011128243901296,Vivero municipal de Migas Calientes,AUTOVIA M-30 2200,261 - Facultad Derecho,Avenida Complutense nº 23
3.131459584669997,Zona verde C/ Fresnedillas,CALLE FRESNEDILLAS 1 C/ Los Gavilanes y C/ Gabriela Mistral,261 - Facultad Derecho,Avenida Complutense nº 23
11.35557554469696,Área Forestal de Tres Cantos,CARRETERA M-607 2100,217 - Pedro Rico,Calle Pedro Rico nº 4
